"","from_account","to_account","from_party","to_party"
"154","torstenherbst","cem_oezdemir","FDP","DIE GRÜNEN"
"155","torstenherbst","ruppert_stefan","FDP","FDP"
"156","torstenherbst","jimmyschulz","FDP","FDP"
"157","torstenherbst","muellerboehm","FDP","FDP"
"158","torstenherbst","busen_mdb","FDP","FDP"
"159","torstenherbst","solms","FDP","FDP"
"160","torstenherbst","koehler_fdp","FDP","FDP"
"161","torstenherbst","franksitta","FDP","FDP"
"162","torstenherbst","starkwatzinger","FDP","FDP"
"163","torstenherbst","bstrasser","FDP","FDP"
"164","torstenherbst","c_jung77","FDP","FDP"
"165","torstenherbst","wanderwitz","FDP","CDU"
"166","torstenherbst","nicolabeerfdp","FDP","FDP"
"167","torstenherbst","christianduerr","FDP","FDP"
"168","torstenherbst","johannesvogel","FDP","FDP"
"169","torstenherbst","c_lindner","FDP","FDP"
"170","torstenherbst","f_schaeffler","FDP","FDP"
"171","kemmerichthl","koehler_fdp","FDP","FDP"
"172","kemmerichthl","larscastellucci","FDP","SPD"
"173","kemmerichthl","nicolabeerfdp","FDP","FDP"
"174","kemmerichthl","fdp_hessel","FDP","FDP"
"175","kemmerichthl","bstrasser","FDP","FDP"
"176","kemmerichthl","muellerboehm","FDP","FDP"
"177","kemmerichthl","busen_mdb","FDP","FDP"
"178","kemmerichthl","c_jung77","FDP","FDP"
"179","kemmerichthl","starkwatzinger","FDP","FDP"
"180","kemmerichthl","torstenherbst","FDP","FDP"
"181","kemmerichthl","ruppert_stefan","FDP","FDP"
"182","kemmerichthl","franksitta","FDP","FDP"
"183","kemmerichthl","petertauber","FDP","CDU"
"184","kemmerichthl","sigmargabriel","FDP","SPD"
"185","kemmerichthl","peteraltmaier","FDP","CDU"
"186","kemmerichthl","christianduerr","FDP","FDP"
"187","kemmerichthl","hacker_fdp","FDP","FDP"
"188","kemmerichthl","jimmyschulz","FDP","FDP"
"189","kemmerichthl","schneidercar","FDP","SPD"
"190","kemmerichthl","c_lindner","FDP","FDP"
"191","kemmerichthl","johannesvogel","FDP","FDP"
"192","kemmerichthl","hubertus_heil","FDP","SPD"
"193","kemmerichthl","f_schaeffler","FDP","FDP"
"194","kemmerichthl","solms","FDP","FDP"
"195","kemmerichthl","matschie","FDP","SPD"
"196","stbrandner","rbrinkhaus","AfD","CDU"
"197","stbrandner","larsklingbeil","AfD","SPD"
"198","stbrandner","katdro","AfD","DIE GRÜNEN"
"199","stbrandner","agnieszka_mdb","AfD","DIE GRÜNEN"
"200","stbrandner","katjadoerner","AfD","DIE GRÜNEN"
"201","stbrandner","cem_oezdemir","AfD","DIE GRÜNEN"
"202","stbrandner","johannesvogel","AfD","FDP"
"203","stbrandner","berlinliebich","AfD","DIE LINKE"
"204","stbrandner","b_riexinger","AfD","DIE LINKE"
"205","stbrandner","katjakipping","AfD","DIE LINKE"
"206","stbrandner","peteraltmaier","AfD","CDU"
"207","stbrandner","sigmargabriel","AfD","SPD"
"208","stbrandner","katarinabarley","AfD","SPD"
"209","stbrandner","ttte94","AfD","AfD"
"210","stbrandner","c_lindner","AfD","FDP"
"211","stbrandner","mrosek1958","AfD","AfD"
"212","stbrandner","ulschzi","AfD","AfD"
"213","stbrandner","h_weyel","AfD","AfD"
"214","kaygottschalk1","ulschzi","AfD","AfD"
"215","kaygottschalk1","h_weyel","AfD","AfD"
"216","kaygottschalk1","mrosek1958","AfD","AfD"
"217","kaygottschalk1","uwe_kamann","AfD","Parteilos"
"218","zaklinnastic","larscastellucci","DIE LINKE","SPD"
"219","zaklinnastic","jankortemdb","DIE LINKE","DIE LINKE"
"220","zaklinnastic","cem_oezdemir","DIE LINKE","DIE GRÜNEN"
"221","zaklinnastic","marcobuelow","DIE LINKE","Parteilos"
"222","zaklinnastic","pascalmeiser","DIE LINKE","DIE LINKE"
"223","zaklinnastic","lgbeutin","DIE LINKE","DIE LINKE"
"224","zaklinnastic","voglerk","DIE LINKE","DIE LINKE"
"225","zaklinnastic","berlinliebich","DIE LINKE","DIE LINKE"
"226","zaklinnastic","tpflueger","DIE LINKE","DIE LINKE"
"227","zaklinnastic","ernst_klaus","DIE LINKE","DIE LINKE"
"228","zaklinnastic","b_riexinger","DIE LINKE","DIE LINKE"
"229","zaklinnastic","ch_buchholz","DIE LINKE","DIE LINKE"
"230","zaklinnastic","katjakipping","DIE LINKE","DIE LINKE"
"231","katjasuding","ruppert_stefan","FDP","FDP"
"232","katjasuding","starkwatzinger","FDP","FDP"
"233","katjasuding","rbrinkhaus","FDP","CDU"
"234","katjasuding","petertauber","FDP","CDU"
"235","katjasuding","nicolabeerfdp","FDP","FDP"
"236","katjasuding","th_sattelberger","FDP","FDP"
"237","katjasuding","franksitta","FDP","FDP"
"238","katjasuding","christianduerr","FDP","FDP"
"239","katjasuding","peteraltmaier","FDP","CDU"
"240","katjasuding","sigmargabriel","FDP","SPD"
"241","katjasuding","c_lindner","FDP","FDP"
"242","katjasuding","jimmyschulz","FDP","FDP"
"243","katjasuding","f_schaeffler","FDP","FDP"
"244","katjasuding","johannesvogel","FDP","FDP"
"245","katjasuding","kahrs","FDP","SPD"
"246","katjasuding","solms","FDP","FDP"
"247","kirstenkappert","dittmarsabine","DIE GRÜNEN","SPD"
"248","kirstenkappert","katdro","DIE GRÜNEN","DIE GRÜNEN"
"249","kirstenkappert","nouripour","DIE GRÜNEN","DIE GRÜNEN"
"250","kirstenkappert","svenlehmann","DIE GRÜNEN","DIE GRÜNEN"
"251","kirstenkappert","sven_kindler","DIE GRÜNEN","DIE GRÜNEN"
"252","kirstenkappert","ulle_schauws","DIE GRÜNEN","DIE GRÜNEN"
"253","kirstenkappert","cem_oezdemir","DIE GRÜNEN","DIE GRÜNEN"
"254","kirstenkappert","katjadoerner","DIE GRÜNEN","DIE GRÜNEN"
"255","kirstenkappert","tobiaslindner","DIE GRÜNEN","DIE GRÜNEN"
"256","kirstenkappert","ekindeligoez","DIE GRÜNEN","DIE GRÜNEN"
"257","kirstenkappert","fbrantner","DIE GRÜNEN","DIE GRÜNEN"
"258","kirstenkappert","ebner_sha","DIE GRÜNEN","DIE GRÜNEN"
"259","kirstenkappert","monikalazar","DIE GRÜNEN","DIE GRÜNEN"
"260","kirstenkappert","stephankuehn","DIE GRÜNEN","DIE GRÜNEN"
"261","kirstenkappert","markuskurthmdb","DIE GRÜNEN","DIE GRÜNEN"
